year,month,maximum_temperature
1872,7,
1872,8,
1872,9,
1872,10,
1873,7,
1873,8,
1873,9,
1873,10,
1874,7,
1874,8,
1874,9,
1874,10,
1875,7,35.1
1875,8,32.6
1875,9,31.7
1875,10,25.7
1876,7,31.2
1876,8,35.6
1876,9,32.8
1876,10,24.7
1877,7,34.9
1877,8,34.5
1877,9,31.7
1877,10,25.7
1878,7,35.1
1878,8,31.9
1878,9,32.0
1878,10,26.8
1879,7,33.5
1879,8,33.9
1879,9,29.8
1879,10,24.8
1880,7,31.7
1880,8,33.2
1880,9,32.2
1880,10,25.8
1881,7,31.4
1881,8,33.7
1881,9,34.2
1881,10,24.7
1882,7,34.2
1882,8,31.6
1882,9,29.9
1882,10,29.7
1883,7,31.4
1883,8,32.8
1883,9,30.8
1883,10,25.9
1884,7,30.8
1884,8,31.2
1884,9,33.3
1884,10,27.9
1885,7,30.7
1885,8,31.8
1885,9,30.4
1885,10,26.6
1886,7,36.6
1886,8,34.0
1886,9,30.7
1886,10,25.0
1887,7,30.6
1887,8,32.6
1887,9,30.3
1887,10,27.7
1888,7,31.2
1888,8,32.8
1888,9,31.7
1888,10,24.7
1889,7,31.3
1889,8,33.3
1889,9,29.9
1889,10,25.1
1890,7,33.3
1890,8,32.3
1890,9,31.5
1890,10,29.9
1891,7,32.6
1891,8,34.4
1891,9,33.6
1891,10,29.3
1892,7,32.3
1892,8,34.4
1892,9,33.1
1892,10,26.7
1893,7,34.4
1893,8,34.0
1893,9,31.9
1893,10,27.4
1894,7,35.0
1894,8,35.1
1894,9,33.0
1894,10,25.6
1895,7,31.9
1895,8,33.0
1895,9,32.2
1895,10,26.1
1896,7,34.3
1896,8,33.2
1896,9,30.6
1896,10,25.0
1897,7,31.1
1897,8,34.0
1897,9,31.9
1897,10,25.3
1898,7,34.3
1898,8,32.8
1898,9,32.3
1898,10,25.8
1899,7,29.6
1899,8,34.1
1899,9,27.5
1899,10,24.8
1900,7,34.9
1900,8,35.1
1900,9,31.8
1900,10,26.9
1901,7,32.4
1901,8,35.6
1901,9,31.3
1901,10,27.6
1902,7,31.3
1902,8,32.5
1902,9,29.5
1902,10,25.2
1903,7,30.7
1903,8,33.7
1903,9,34.7
1903,10,23.0
1904,7,30.9
1904,8,32.3
1904,9,31.0
1904,10,25.7
1905,7,31.0
1905,8,32.9
1905,9,32.0
1905,10,24.4
1906,7,31.4
1906,8,32.8
1906,9,28.5
1906,10,28.2
1907,7,30.5
1907,8,31.6
1907,9,30.7
1907,10,25.2
1908,7,32.5
1908,8,33.2
1908,9,28.0
1908,10,24.1
1909,7,33.9
1909,8,32.3
1909,9,31.5
1909,10,24.0
1910,7,32.7
1910,8,32.8
1910,9,31.9
1910,10,23.2
1911,7,33.2
1911,8,33.4
1911,9,31.6
1911,10,26.3
1912,7,33.2
1912,8,34.4
1912,9,34.5
1912,10,28.2
1913,7,32.0
1913,8,32.5
1913,9,28.5
1913,10,24.7
1914,7,34.5
1914,8,34.5
1914,9,31.7
1914,10,25.9
1915,7,34.2
1915,8,32.9
1915,9,31.0
1915,10,31.3
1916,7,32.9
1916,8,32.0
1916,9,33.1
1916,10,27.1
1917,7,34.2
1917,8,33.2
1917,9,31.7
1917,10,32.0
1918,7,33.9
1918,8,34.4
1918,9,31.6
1918,10,27.6
1919,7,31.4
1919,8,33.4
1919,9,32.6
1919,10,28.2
1920,7,32.5
1920,8,31.7
1920,9,31.4
1920,10,26.8
1921,7,31.0
1921,8,34.2
1921,9,30.5
1921,10,28.5
1922,7,34.5
1922,8,35.7
1922,9,32.5
1922,10,28.6
1923,7,34.6
1923,8,35.1
1923,9,31.9
1923,10,25.5
1924,7,33.6
1924,8,36.1
1924,9,31.5
1924,10,26.9
1925,7,33.1
1925,8,33.6
1925,9,30.9
1925,10,30.3
1926,7,33.6
1926,8,36.4
1926,9,32.5
1926,10,25.3
1927,7,35.6
1927,8,34.2
1927,9,32.8
1927,10,27.7
1928,7,31.4
1928,8,31.3
1928,9,32.2
1928,10,26.1
1929,7,34.8
1929,8,36.2
1929,9,30.9
1929,10,27.2
1930,7,33.8
1930,8,33.5
1930,9,31.4
1930,10,25.0
1931,7,32.8
1931,8,33.8
1931,9,32.1
1931,10,29.0
1932,7,34.7
1932,8,34.4
1932,9,32.9
1932,10,25.1
1933,7,35.4
1933,8,34.4
1933,9,33.5
1933,10,26.4
1934,7,35.3
1934,8,34.1
1934,9,29.8
1934,10,28.1
1935,7,33.8
1935,8,32.7
1935,9,31.9
1935,10,28.4
1936,7,35.6
1936,8,35.1
1936,9,33.8
1936,10,25.4
1937,7,34.0
1937,8,36.2
1937,9,33.8
1937,10,26.0
1938,7,33.6
1938,8,31.5
1938,9,31.1
1938,10,32.3
1939,7,34.1
1939,8,32.2
1939,9,31.6
1939,10,26.4
1940,7,36.4
1940,8,32.7
1940,9,33.4
1940,10,28.9
1941,7,34.3
1941,8,33.1
1941,9,33.8
1941,10,29.2
1942,7,36.3
1942,8,38.1
1942,9,35.8
1942,10,27.2
1943,7,32.6
1943,8,34.4
1943,9,33.0
1943,10,28.2
1944,7,37.0
1944,8,35.0
1944,9,33.2
1944,10,26.5
1945,7,31.6
1945,8,34.0
1945,9,33.0
1945,10,28.9
1946,7,35.5
1946,8,33.8
1946,9,32.9
1946,10,29.5
1947,7,35.4
1947,8,36.0
1947,9,34.0
1947,10,27.9
1948,7,33.3
1948,8,33.1
1948,9,32.8
1948,10,28.0
1949,7,33.8
1949,8,34.1
1949,9,31.3
1949,10,24.3
1950,7,34.2
1950,8,34.2
1950,9,33.9
1950,10,28.9
1951,7,34.8
1951,8,36.4
1951,9,30.4
1951,10,27.2
1952,7,32.7
1952,8,34.5
1952,9,34.3
1952,10,28.8
1953,7,33.3
1953,8,38.4
1953,9,31.9
1953,10,24.9
1954,7,31.6
1954,8,36.3
1954,9,32.1
1954,10,24.7
1955,7,34.7
1955,8,35.4
1955,9,31.6
1955,10,28.7
1956,7,33.1
1956,8,35.5
1956,9,32.2
1956,10,26.8
1957,7,33.9
1957,8,34.9
1957,9,31.3
1957,10,25.8
1958,7,32.8
1958,8,33.6
1958,9,34.4
1958,10,28.4
1959,7,34.5
1959,8,35.0
1959,9,36.4
1959,10,29.2
1960,7,33.7
1960,8,34.7
1960,9,32.7
1960,10,27.9
1961,7,37.5
1961,8,35.0
1961,9,35.0
1961,10,29.8
1962,7,34.1
1962,8,37.6
1962,9,32.9
1962,10,29.5
1963,7,35.5
1963,8,37.2
1963,9,30.6
1963,10,27.0
1964,7,34.0
1964,8,35.2
1964,9,32.4
1964,10,26.0
1965,7,33.6
1965,8,35.0
1965,9,29.9
1965,10,26.8
1966,7,33.0
1966,8,34.9
1966,9,32.8
1966,10,26.7
1967,7,34.1
1967,8,37.2
1967,9,31.3
1967,10,26.0
1968,7,32.3
1968,8,33.5
1968,9,28.9
1968,10,27.2
1969,7,36.6
1969,8,35.8
1969,9,33.2
1969,10,26.1
1970,7,34.9
1970,8,35.5
1970,9,35.4
1970,10,26.1
1971,7,33.7
1971,8,34.4
1971,9,30.8
1971,10,24.1
1972,7,32.1
1972,8,35.2
1972,9,31.6
1972,10,26.2
1973,7,34.7
1973,8,34.3
1973,9,34.5
1973,10,28.2
1974,7,34.2
1974,8,34.2
1974,9,32.3
1974,10,26.1
1975,7,35.6
1975,8,35.5
1975,9,34.1
1975,10,27.9
1976,7,33.4
1976,8,35.4
1976,9,31.6
1976,10,26.9
1977,7,33.6
1977,8,34.9
1977,9,32.3
1977,10,27.6
1978,7,33.6
1978,8,36.3
1978,9,33.1
1978,10,26.6
1979,7,34.3
1979,8,33.5
1979,9,32.7
1979,10,32.6
1980,7,33.0
1980,8,32.2
1980,9,31.9
1980,10,28.8
